index;title;googleDriveId;releaseYear;size;remotePath
1;New Edition;1RO67poZoQD43iDZm3lEomoxnflv4_S6A;2003;2305924;comics/oots0001.html
2;Second Grade All Over Again;1r4JwruZVCh0jvZYq0QgpZp1aEaDATgge;2003;1745487;comics/oots0002.html
3;See Spot Spot;1jnmEYEBJaqvrz_xXT_rRbbry0ZvIvb8H;2003;1814908;comics/oots0003.html
4;The Power of Music;1Rw_t8De06Dr2cJSh2lyM6WU_--Jbf7ot;2003;1901420;comics/oots0004.html
5;When Plotlines Collide!;1mLvaPyU9hVauQ9IYUeZQOlrlcRqrn_O_;2003;2245632;comics/oots0005.html
6;The Cleric is 'In';10t_2Aehf2Ri42e5vFfsK0ahysOqErwi2;2003;1926443;comics/oots0006.html
7;ThorPrayer;1qhMUXgw_IV9rTo9F4lxW184EwJbWAvWL;2003;2020561;comics/oots0007.html
8;The Benefit of a High Bluff Score;1P1rY4xNTXj3DoXSWE2ud8r5AfKFBFwU0;2003;2115408;comics/oots0008.html
9;I am Curious, Elan;152FnPpxBjEO0E-j4-fJdRiCbu79CKzJA;2003;1981219;comics/oots0009.html
10;Like Enthrall, Only Boring;1gkjwKk91jw_pVP_plRCN4Jga-mMrmTLn;2003;2358676;comics/oots0010.html
11;Alignment Differences;1rrSAuTGO9RtU-8xiqa04a5fpu_SbV8nQ;2003;2282051;comics/oots0011.html
12;Up a Level, Down a Level;1sfs8lF7i6PaTaEmSW_A20V-TUY6B-qTU;2003;2561964;comics/oots0012.html
13;Plot, Ahoy!;1OqYgiATc4o91gcfWD4cVFAf8QJ5LMmxP;2003;2177820;comics/oots0013.html
14;Why Roy is Always Tired;1qXjRAFw5jjhy7P21j9S58UrdOojJ1cvs;2003;2210484;comics/oots0014.html
15;Family Time;18lyoxB4o9F6TTZVC5RL2WWJlSyReT7LT;2003;2415128;comics/oots0015.html
16;Turn of Phrase;1U2jahBGFc3KkHA0OaZrxoprZHh5QoECX;2003;2470807;comics/oots0016.html
17;Rapier Wit;1aw9XGy4F65thdiu5hM1T4JukDe7Sqnv7;2003;2378910;comics/oots0017.html
18;Double Surprise;10qSfJoxmBww9wjaZveaH6Xgdp7w1bYwp;2003;2203378;comics/oots0018.html
19;Evade!;1DdOkz-K5vc6PabgP0m555Lp0fd8Nv1wG;2003;2430689;comics/oots0019.html
20;Arcanolypse Now;16Y2uYGynGW6NQ1rjPs-xnVMAZXoJFir7;2003;2415294;comics/oots0020.html
21;It's All About the Drama;1kG73k5DpYvKeW0DG1wc6o6ChDzKEbcXL;2003;2658105;comics/oots0021.html
22;Leadership in Action;1YxakTAD3xttaNRhPZ_mTyJU3k52BhyF4;2003;1993853;comics/oots0022.html
23;Meanwhile...;1foHOkyW5e8F7s8T6F7xcNoNdVv-3frjM;2003;1605529;comics/oots0023.html
24;Do You Hear What I Hear?;1xx_RjB97paMtw-d5cTNt1l2Womldj55a;2003;2337318;comics/oots0024.html
25;Armor Begone;1SZwRv2Eo_lVPtrNfxPlyEU244f3ybxtd;2003;2059954;comics/oots0025.html
26;Bardic Nudity;1H97mT_ZCt3_JaSi1duckapnx5rKYhpC2;2004;2223342;comics/oots0026.html
27;The Delicate Art of Intraparty Negotiations;1S7LW-ujCuz5rXdslr_fGOwv8uCT2chZh;2004;2263792;comics/oots0027.html
28;Just Like on Three's Company;1JkHlL5QkG1TLUfAwcj_klsmrhS1Rn4_M;2004;2265502;comics/oots0028.html
29;Treasure? What Treasure?;12sfrkV4HvHzTUSIUf2ERBB7qCQhXu325;2004;2026561;comics/oots0029.html
30;Behind the Secret Door;1uBrN6FluVxv8Yj3_lx2Pw8OyKcOsOYjc;2004;1882462;comics/oots0030.html
31;All-You-Can-Eat Brain Buffet;1BHTm2u0Yt3VhgFH9T7WX4Lyw56KPEO9L;2004;2144270;comics/oots0031.html
32;Biting the Hand that Feeds Me;1b20mxXYHxDFqSfbzsHFjw9Zljpq4CYgk;2004;2379505;comics/oots0032.html
33;Mail Call;1uXxHVgMgu61ZoDZ1q5ee8p55LiNfDh4O;2004;2804223;comics/oots0033.html
34;Math is Fun;1nVnTFwjPA8o_5wU5MGccbY4qtdscIFMQ;2004;2071845;comics/oots0034.html
35;Rogues Gone Wild!;1LCoXoH3DV_05klFymRpkhcEmv8g2O1QT;2004;1924410;comics/oots0035.html
36;Building a Better PC Trap;1_NZNlrV3lCAqteWVxLYzHBz9y8sWgufY;2004;2060233;comics/oots0036.html
37;Evil, But Cost-Effective;1CvqDBf5VfqoxdXoskD4Tjg7ApXcZaHqr;2004;2111956;comics/oots0037.html
38;Spontaneous Artistic Expression;1iyayKkeCFRsjZr8pwo-n0fy4dgbaXq0d;2004;2356148;comics/oots0038.html
